UserID;Age;Gender;Race;Province;Channel2;record_date;record_time;Hour_SA;Day_Name;Time_bucket;Month_name;Duration_Seconds;Age_group
906691;31;male;indian_asian;Gauteng;Cartoon Network;2016/03/25;22:22:00;22;Friday;Evening;March;231;26-35
906693;31;male;indian_asian;North West;ICC Cricket World Cup 2011;2016/03/25;17:18:00;17;Friday;Late Afternoon;March;7240;26-35
1108229;40;female;coloured;Western Cape;Channel O;2016/03/30;18:04:00;18;Wednesday;Late Afternoon;March;78;36-50
794467;26;male;black;Limpopo;Africa Magic;2016/01/09;12:34:00;12;Saturday;Late Morning;January;2;26-35
832939;49;male;indian_asian;Gauteng;E! Entertainment;2016/03/03;05:51:00;5;Thursday;Late Night;March;1156;36-50
780287;29;male;black;Limpopo;Trace TV;2016/01/29;22:49:00;22;Friday;Evening;January;114;26-35
780287;29;male;black;Limpopo;Africa Magic;2016/01/14;22:33:00;22;Thursday;Evening;January;5;26-35
821702;31;male;black;Western Cape;Trace TV;2016/02/26;07:42:00;7;Friday;Early Morning;February;27;26-35
821702;31;male;black;Western Cape;ICC Cricket World Cup 2011;2016/03/06;11:18:00;11;Sunday;Late Morning;March;14;26-35
2275017;34;male;white;Gauteng;E! Entertainment;2016/02/13;13:48:00;13;Saturday;Early Afternoon;February;28;26-35
2422144;34;male;indian_asian;Gauteng;ICC Cricket World Cup 2011;2016/03/30;17:39:00;17;Wednesday;Late Afternoon;March;3530;26-35
867375;27;male;black;North West;Channel O;2016/03/14;19:17:00;19;Monday;Evening;March;303;26-35
867375;27;male;black;North West;Africa Magic;2016/03/10;17:38:00;17;Thursday;Late Afternoon;March;29;26-35
931297;27;male;indian_asian;Limpopo;Cartoon Network;2016/03/31;12:23:00;12;Thursday;Late Morning;March;240;26-35
931297;27;male;indian_asian;Limpopo;ICC Cricket World Cup 2011;2016/03/30;10:25:00;10;Wednesday;Late Morning;March;28;26-35
810066;22;male;black;Gauteng;Supersport Live Events;2016/02/22;15:18:00;15;Monday;Early Afternoon;February;26;18-25
810066;22;male;black;Gauteng;Supersport Live Events;2016/02/26;23:22:00;23;Friday;Late Night;February;0;18-25
810066;22;male;black;Gauteng;Supersport Live Events;2016/02/21;23:01:00;23;Sunday;Late Night;February;24;18-25
810066;22;male;black;Gauteng;Break in transmission;2016/02/27;16:48:00;16;Saturday;Late Afternoon;February;23;18-25
893476;29;male;indian_asian;Gauteng;E! Entertainment;2016/03/21;23:14:00;23;Monday;Late Night;March;280;26-35
868613;21;male;black;Gauteng;Cartoon Network;2016/03/15;11:36:00;11;Tuesday;Late Morning;March;25;18-25
870025;25;male;indian_asian;Gauteng;Boomerang;2016/03/15;10:18:00;10;Tuesday;Late Morning;March;147;18-25
809971;23;male;black;North West;E! Entertainment;2016/03/18;00:39:00;0;Friday;Late Night;March;5468;18-25
867378;41;male;white;Mpumalanga;ICC Cricket World Cup 2011;2016/03/23;14:42:00;14;Wednesday;Early Afternoon;March;0;36-50
810079;30;male;black;Gauteng;E! Entertainment;2016/02/13;19:19:00;19;Saturday;Evening;February;104;26-35
780291;41;male;black;Gauteng;Africa Magic;2016/02/09;10:48:00;10;Tuesday;Late Morning;February;72;36-50
